field,rating,title,sjr
01.Computer Science,최우수,IEEE Transactions on Software Engineering,1.71
01.Computer Science,최우수,Archives of Computational Methods in Engineering,1.58
01.Computer Science,최우수,International Journal of Human Computer Studies,1.27
01.Computer Science,우수,Foundations and Trends in Signal Processing,6.68
01.Computer Science,우수,Synthesis Lectures on Communication Networks,4.85
01.Computer Science,우수,Mathematical Programming Computation,4.38
01.Computer Science,우수,IEEE Transactions on Automatic Control,4.33
01.Computer Science,우수,Transactions of the Association for Computational Linguistics,4.01
01.Computer Science,우수,ACM Transactions on Graphics,3.7
01.Computer Science,우수,GigaScience,3.7
01.Computer Science,우수,IEEE Transactions on Cognitive Communications and Networking,3.42
01.Computer Science,우수,Annual Reviews in Control,3.34
01.Computer Science,우수,Information Systems Research,3.26
01.Computer Science,우수,IEEE/CAA Journal of Automatica Sinica,3.22
01.Computer Science,우수,Medical Image Analysis,3.2
01.Computer Science,우수,Foundations and Trends in Information Retrieval,3.13
01.Computer Science,우수,IEEE Wireless Communications Letters,3.09
01.Computer Science,우수,Journal of the ACM,2.95
01.Computer Science,우수,IEEE Transactions on Medical Imaging,2.87
01.Computer Science,우수,Information Systems Journal,2.75
01.Computer Science,우수,Journal of Statistical Software,2.72
01.Computer Science,우수,Journal of Big Data,2.71
01.Computer Science,우수,Information and Management,2.69
01.Computer Science,우수,IEEE Transactions on Intelligent Transportation Systems,2.67
01.Computer Science,우수,Swarm and Evolutionary Computation,2.65
01.Computer Science,우수,IEEE Journal on Selected Topics in Signal Processing,2.63
01.Computer Science,우수,IEEE Transactions on Mobile Computing,2.54
01.Computer Science,우수,IEEE Transactions on Signal Processing,2.5
01.Computer Science,우수,Artificial Intelligence Review,2.49
01.Computer Science,우수,Mechanical Systems and Signal Processing,2.48
01.Computer Science,우수,Scientific data,2.41
01.Computer Science,우수,IEEE Transactions on Control of Network Systems,2.38
01.Computer Science,우수,European Journal of Operational Research,2.37
01.Computer Science,우수,IEEE Transactions on Knowledge and Data Engineering,2.36
01.Computer Science,우수,IEEE Communications Standards Magazine,2.31
01.Computer Science,우수,Information Sciences,2.29
01.Computer Science,우수,Mathematical Programming,2.28
01.Computer Science,우수,Neural Networks,2.22
01.Computer Science,우수,Computer Methods in Applied Mechanics and Engineering,2.22
01.Computer Science,우수,Journal of Intelligent Manufacturing,2.16
01.Computer Science,우수,IEEE Transactions on Services Computing,2.11
01.Computer Science,우수,Information Processing and Management,2.11
01.Computer Science,우수,Journal of Memory and Language,2.1
01.Computer Science,우수,Pattern Recognition,2.09
01.Computer Science,우수,Decision Support Systems,2.08
01.Computer Science,우수,IEEE/ASME Transactions on Mechatronics,2.07
01.Computer Science,우수,Knowledge-Based Systems,2.07
01.Computer Science,우수,Future Generation Computer Systems,2.04
01.Computer Science,우수,IEEE/ACM Transactions on Networking,2.03
01.Computer Science,우수,Journal of Field Robotics,2.02
01.Computer Science,우수,Information and Organization,2.0
01.Computer Science,우수,Journal of Computer-Mediated Communication,1.95
01.Computer Science,우수,APL Photonics,1.95
01.Computer Science,우수,IEEE Transactions on Affective Computing,1.91
01.Computer Science,우수,"Proceedings of the ACM on Interactive, Mobile, Wearable and Ubiquitous Technologies",1.91
01.Computer Science,우수,Applied Soft Computing Journal,1.88
01.Computer Science,우수,Telematics and Informatics,1.88
01.Computer Science,우수,Expert Systems with Applications,1.87
01.Computer Science,우수,Virtual and Physical Prototyping,1.87
01.Computer Science,우수,IEEE Transactions on Information Theory,1.87
01.Computer Science,우수,IEEE Transactions on Dependable and Secure Computing,1.83
01.Computer Science,우수,Computers and Geotechnics,1.79
01.Computer Science,우수,IEEE Transactions on Emerging Topics in Computational Intelligence,1.76
01.Computer Science,우수,Journal of the Association for Information Systems,1.74
01.Computer Science,우수,Computers and Operations Research,1.72
01.Computer Science,우수,Advanced Engineering Informatics,1.71
01.Computer Science,우수,IEEE Robotics and Automation Letters,1.69
01.Computer Science,우수,mSystems,1.69
01.Computer Science,우수,IEEE Transactions on Multimedia,1.64
01.Computer Science,우수,Data Mining and Knowledge Discovery,1.64
01.Computer Science,우수,Computers and Security,1.61
01.Computer Science,우수,IEEE Transactions on Visualization and Computer Graphics,1.52
01.Computer Science,우수,Communications of the ACM,1.51
01.Computer Science,우수,International Journal of Neural Systems,1.49
01.Computer Science,우수,Journal of Materials Processing Technology,1.49
01.Computer Science,우수,IEEE Transactions on Cloud Computing,1.44
01.Computer Science,우수,International Journal of Intelligent Systems,1.44
01.Computer Science,우수,Journal of Information Technology,1.38
01.Computer Science,우수,IEEE Transactions on Emerging Topics in Computing,1.35
01.Computer Science,우수,IEEE/ACM Transactions on Audio Speech and Language Processing,1.35
01.Computer Science,우수,IEEE Transactions on Sustainable Computing,1.35
01.Computer Science,우수,Empirical Software Engineering,1.29
01.Computer Science,우수,Journal of Informetrics,1.27
01.Computer Science,우수,User Modeling and User-Adapted Interaction,1.23
01.Computer Science,우수,Elsevier Computer Vision & Image Understanding (CVIU),1.2
01.Computer Science,우수,Information and Software Technology,1.18
01.Computer Science,우수,Engineering Applications of Computational Fluid Mechanics,1.16
01.Computer Science,우수,IEEE Transactions on Learning Technologies,1.14
01.Computer Science,우수,Journal of Artificial Intelligence Research,1.12
01.Computer Science,우수,IEEE Transactions on Human-Machine Systems,1.05
01.Computer Science,우수,"Engineering Science and Technology, an International Journal",1.04
01.Computer Science,우수,Journal of Cryptology,1.03
01.Computer Science,우수,Journal of King Saud University - Computer and Information Sciences,0.92
01.Computer Science,우수,Applied Ergonomics,0.92
01.Computer Science,우수,ACM Transactions on Privacy and Security,0.9
01.Computer Science,우수,International Journal of Human-Computer Interaction,0.88
01.Computer Science,우수,Advanced Theory and Simulations,0.87
01.Computer Science,우수,Software - Practice and Experience,0.87
01.Computer Science,우수,Semantic Web,0.83
01.Computer Science,우수,IEEE Transactions on Haptics,0.82
01.Computer Science,우수,Journal of the Acoustical Society of America (JASA),0.71
01.Computer Science,우수,IEEE International Conference on Computational Photography,
02.Mathematics,최우수,SIAM Review,3.0
02.Mathematics,최우수,IEEE Transactions on Vehicular Technology,2.8
02.Mathematics,최우수,Journal of Machine Learning Research,2.28
02.Mathematics,우수,SIAM Journal on Computing,2.47
02.Mathematics,우수,Information Sciences,2.29
02.Mathematics,우수,SIAM Journal on Optimization,2.28
02.Mathematics,우수,Engineered Science,1.39
02.Mathematics,우수,Measurement,1.18
02.Mathematics,우수,Journal of Systems and Software,1.13
02.Mathematics,우수,IEEE Signal Processing Letters,1.12
02.Mathematics,우수,Applied Mathematics and Computation,0.96
03.Electrical and Electronic Engineering,최우수,IEEE Communications Surveys and Tutorials,14.25
03.Electrical and Electronic Engineering,최우수,IEEE Wireless Communications,6.56
03.Electrical and Electronic Engineering,최우수,IEEE Transactions on Wireless Communications,5.66
03.Electrical and Electronic Engineering,최우수,IEEE Transactions on Communications,3.89
03.Electrical and Electronic Engineering,최우수,IEEE Transactions on Power Systems,3.73
03.Electrical and Electronic Engineering,최우수,IEEE Transactions on Power Electronics,3.34
03.Electrical and Electronic Engineering,최우수,IEEE Transactions on Industrial Electronics,3.19
03.Electrical and Electronic Engineering,최우수,IEEE Journal of Solid-State Circuits,3.04
03.Electrical and Electronic Engineering,최우수,IEEE Transactions on Vehicular Technology,2.8
03.Electrical and Electronic Engineering,최우수,IEEE Transactions on Robotics,2.72
03.Electrical and Electronic Engineering,최우수,IEEE Journal of Emerging and Selected Topics in Power Electronics,2.64
03.Electrical and Electronic Engineering,최우수,IEEE Transactions on Circuits and Systems for Video Technology,1.49
03.Electrical and Electronic Engineering,우수,IEEE Vehicular technology Magazine,4.47
03.Electrical and Electronic Engineering,우수,Protection and Control of Modern Power Systems,2.62
03.Electrical and Electronic Engineering,우수,Energy conversion and management,2.51
03.Electrical and Electronic Engineering,우수,IEEE Transactions on Signal Processing,2.5
03.Electrical and Electronic Engineering,우수,IEEE Transactions on Antennas and Propagation,2.32
03.Electrical and Electronic Engineering,우수,Solar RRL,2.24
03.Electrical and Electronic Engineering,우수,IEEE/ASME Transactions on Mechatronics,2.07
03.Electrical and Electronic Engineering,우수,IEEE International Symposium on Information Theory,2.04
03.Electrical and Electronic Engineering,우수,IEEE Transactions on Energy Conversion,2.04
03.Electrical and Electronic Engineering,우수,IEEE Antennas and Wireless Propagation Letters,2.02
03.Electrical and Electronic Engineering,우수,Energy,1.99
03.Electrical and Electronic Engineering,우수,IEEE Transactions on Automation Science and Engineering,1.97
03.Electrical and Electronic Engineering,우수,IEEE Transactions on Power Delivery,1.92
03.Electrical and Electronic Engineering,우수,Journal of Power Sources,1.85
03.Electrical and Electronic Engineering,우수,Energy and Buildings,1.61
03.Electrical and Electronic Engineering,우수,IEEE Journal on Emerging and Selected Topics in Circuits and Systems,1.56
03.Electrical and Electronic Engineering,우수,IEEE Transactions on Circuits and Systems I - Regular Papers,1.54
03.Electrical and Electronic Engineering,우수,Journal of Energy Storage,1.46
03.Electrical and Electronic Engineering,우수,IEEE Transactions on Circuits and Systems II - Express Briefs,1.27
03.Electrical and Electronic Engineering,우수,Virtual Reality,1.08
03.Electrical and Electronic Engineering,우수,Optics and Lasers in Engineering,1.05
03.Electrical and Electronic Engineering,우수,Journal of The Electrochemical Society,0.95
03.Electrical and Electronic Engineering,우수,Journal of the Electrochemical Society(JES),0.95
03.Electrical and Electronic Engineering,우수,IEEE Access,0.93
03.Electrical and Electronic Engineering,우수,IEEE Multimedia,0.85
03.Electrical and Electronic Engineering,우수,IEEE Microwave and Wireless Technology Letters,
03.Electrical and Electronic Engineering,우수,IEEE International Electron Devices Meeting,
04.Materials Science,최우수,Nature Reviews Materials,21.93
04.Materials Science,최우수,Nature Energy,19.59
04.Materials Science,최우수,Nature Materials,13.87
04.Materials Science,최우수,Nature Nanotechnology,13.14
04.Materials Science,최우수,Joule,12.28
04.Materials Science,최우수,Nature Photonics,11.77
04.Materials Science,최우수,Nature Electronics,10.93
04.Materials Science,최우수,Annual Review of Condensed Matter Physics,10.64
04.Materials Science,최우수,Advanced Materials,9.54
04.Materials Science,최우수,Advanced Energy Materials,9.04
04.Materials Science,최우수,Progress in Materials Science,8.52
04.Materials Science,최우수,ACS Energy Letters,7.86
04.Materials Science,최우수,Materials Science and Engineering: R: Reports,6.84
04.Materials Science,최우수,Materials Today,6.19
04.Materials Science,최우수,Advanced Functional Materials,5.57
04.Materials Science,최우수,Light: Science and Applications,5.41
04.Materials Science,최우수,Nano-Micro Letters,5.28
04.Materials Science,최우수,Energy Storage Materials,5.18
04.Materials Science,최우수,Nano Energy,5.03
04.Materials Science,최우수,ACS Nano,4.73
04.Materials Science,최우수,Optica,4.1
04.Materials Science,최우수,Advanced Science,4.09
04.Materials Science,최우수,Materials Horizons,3.88
04.Materials Science,최우수,Nano Today,3.87
04.Materials Science,최우수,Nano Letters,3.54
04.Materials Science,최우수,Annual Review of Materials Research,3.44
04.Materials Science,최우수,Surface Science Reports,3.2
04.Materials Science,최우수,npj Flexible Electronics,3.2
04.Materials Science,최우수,Journal of Materials Chemistry A,3.16
04.Materials Science,최우수,ACS applied materials & interfaces,2.18
04.Materials Science,최우수,2D Materials,1.63
04.Materials Science,최우수,ACS Applied Energy Materials,1.59
04.Materials Science,최우수,Physical Review B,1.35
04.Materials Science,우수,Digest of Technical Papers - IEEE International Solid-State Circuits Conference,3.54
04.Materials Science,우수,Applied Energy,3.4
04.Materials Science,우수,Laser and Photonics Reviews,3.15
04.Materials Science,우수,Opto-Electronic Advances,2.91
04.Materials Science,우수,Materials Today Physics,2.77
04.Materials Science,우수,npj 2D Materials and Applications,2.67
04.Materials Science,우수,Materials Research Letters,2.53
04.Materials Science,우수,Advanced Optical Materials,2.52
04.Materials Science,우수,Polymer Reviews,2.49
04.Materials Science,우수,npj Quantum Materials,2.22
04.Materials Science,우수,Photonics Research,2.12
04.Materials Science,우수,ACS Photonics,2.11
04.Materials Science,우수,International Journal of Engineering Science,2.08
04.Materials Science,우수,Nanophotonics,2.01
04.Materials Science,우수,Advanced Electronic Materials,1.89
04.Materials Science,우수,Journal of Materials Chemistry C,1.53
04.Materials Science,우수,Applied Physics Letters,1.04
04.Materials Science,우수,Liquid Crystals Reviews,0.8
05.Chemistry,최우수,Energy and Environmental Science,12.31
05.Chemistry,최우수,Nature Chemistry,8.14
05.Chemistry,최우수,Journal of the American Chemical Society,5.95
05.Chemistry,최우수,Angewandte Chemie,5.57
05.Chemistry,최우수,Applied Catalysis B: Environmental,4.89
05.Chemistry,최우수,Small,3.4
05.Chemistry,최우수,Water Research,3.34
05.Chemistry,최우수,Small Science,3.3
05.Chemistry,최우수,Environmental Science & Technology,3.1
05.Chemistry,최우수,Applied Energy,2.91
05.Chemistry,최우수,Trends in Food Science & Technology,2.5
05.Chemistry,최우수,Chemosphere,1.73
05.Chemistry,최우수,Analytical chemistry,1.6
05.Chemistry,최우수,Applied Thermal Engineering,1.56
05.Chemistry,최우수,International Journal of Heat and Mass Transfer,1.37
05.Chemistry,우수,Annual Review of Physical Chemistry,4.23
05.Chemistry,우수,Chemical Engineering Journal,2.8
05.Chemistry,우수,Biosensors and Bioelectronics,2.19
05.Chemistry,우수,ChemSusChem,2.06
05.Chemistry,우수,Green Chemistry,2.0
05.Chemistry,우수,Journal of Physical Chemistry Letters,1.85
05.Chemistry,우수,Environmental Research,1.64
05.Chemistry,우수,Journal of Colloid and Interface Science,1.6
05.Chemistry,우수,"Sensors and Actuators, B: Chemical",1.48
05.Chemistry,우수,Food research international,1.4
05.Chemistry,우수,The Journal of Physical Chemistry C,1.0
05.Chemistry,우수,International Journal of Multiphase Flow,0.99
05.Chemistry,우수,International Reviews in Physical Chemistry,0.96
05.Chemistry,우수,Thermal Science and Engineering Progress,0.9
05.Chemistry,우수,Drying Technology,0.8
05.Chemistry,우수,Food and Bioproducts Processing,0.8
05.Chemistry,우수,The Journal of Physical Chemistry A,0.7
06.Multidisciplinary,최우수,Nature,20.96
06.Multidisciplinary,최우수,Science,13.33
06.Multidisciplinary,최우수,Nature Communications,5.12
06.Multidisciplinary,최우수,Science advances,4.6
06.Multidisciplinary,우수,Science Bulletin,2.9
06.Multidisciplinary,우수,Scientific Reports,0.97
06.Multidisciplinary,우수,Heliyon,0.61
07.Decision Sciences _ Information Systems and Management,우수,Information Systems Research,3.26
07.Decision Sciences _ Information Systems and Management,우수,Journal of Industrial Information Integration,2.72
07.Decision Sciences _ Information Systems and Management,우수,Information and Management,2.69
07.Decision Sciences _ Information Systems and Management,우수,Omega,2.68
07.Decision Sciences _ Information Systems and Management,우수,IEEE Transactions on Services Computing,2.11
08.Etc,최우수,The Lancet,14.6
08.Etc,최우수,npj Digital Medicine,3.55
08.Etc,최우수,BMC Medicine,3.45
08.Etc,최우수,Alzheimer’s & Dementia: The Journal of the Alzheimer’s Association,3.29
08.Etc,최우수,Journal of Hazardous Materials,2.57
08.Etc,최우수,Artificial Intelligence,1.82
08.Etc,최우수,Reliability Engineering and System Safety,1.76
08.Etc,우수,Science of The Total Environment,1.95
08.Etc,우수,IEEE Transactions on Microwave Theory and Techniques,1.89
08.Etc,우수,IEEE Communications Letters,1.8
08.Etc,우수,Sleep,1.58
08.Etc,우수,JMIR mHealth and uHealth,1.51
08.Etc,우수,Journal of Sleep Research,1.3
08.Etc,우수,Optics Letters,1.18
08.Etc,우수,IEEE Transactions on Biomedical Engineering,1.17
08.Etc,우수,Optics Express,1.14
08.Etc,우수,IEEE Sensors Journal,0.99
